name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
LOFT 20 minutes from Downtown and ORD Airport.,41.96105139,-87.71810527,Private room,69,1,3,08/05/2017,3.00
"Beautiful cozy room, with queen size bed and T.V.",41.94598896,-87.73360968,Private room,43,1,24,07/05/2017,1.14
"Private sunny room, with full bath.",41.95642152,-87.72371206,Private room,50,1,9,20/08/2016,0.48
1BR Sunny family friendly Mayfair,41.96382195,-87.73494361,Private room,39,2,7,26/11/2016,0.33
"Private, nice room/Blue Line,Metra/",41.9590507,-87.72953046,Private room,55,1,24,22/04/2017,1.26
Fantastic Space/ Green Room!,41.95586437,-87.70888218,Private room,39,3,18,31/03/2017,0.48
Irving Park 2nd story apartment,41.95979471,-87.72200529,Entire home/apt,100,1,7,08/05/2017,2.59
Cozy Private room! Irving Park!,41.95162929,-87.71342725,Private room,55,1,36,18/10/2016,1.16
Relax ! Neighborhood Garden Studio,41.96030938,-87.72266598,Private room,39,1,47,06/05/2017,3.38
Modern & Clean Large 1BR near CTA,41.95215681,-87.73051652,Entire home/apt,125,2,5,04/10/2015,0.23
Relaxing 2BD Near Wrigley Field,41.95458798,-87.70122133,Entire home/apt,245,2,12,07/11/2016,0.62
New Luxury Master Bedroom and Bath,41.94440426,-87.73020133,Private room,70,1,63,30/01/2017,2.68
Private Room in Avondale!,41.94729361,-87.70328832,Private room,34,2,20,25/04/2017,0.79
2nd Floor Garden Condo,41.95447506,-87.70705032,Entire home/apt,69,1,99,02/05/2017,5.41
"1 br apartment, all for yourself, by the Blue Line",41.95631034,-87.72915529,Entire home/apt,35,1,2,27/04/2017,2.00
Great Chicago Loft for 6,41.95486949,-87.69815327,Entire home/apt,108,2,63,07/05/2017,3.05
Sunny 2bd/1ba btw Downtown & O'Hare,41.9494003,-87.71482638,Entire home/apt,120,3,82,30/04/2017,2.67
"Private Room, Mid City, Vintage, Comfortable",41.95014694,-87.7103106,Private room,43,2,31,06/11/2016,1.00
The Firehouse B&B - The Bunk Room,41.95002621,-87.70998513,Private room,95,1,4,30/10/2016,0.51
Beautiful Duplex,41.95858508,-87.71501983,Private room,75,1,56,18/09/2016,1.71
,41.9551913,-87.73212765,Private room,99,1,4,06/11/2016,0.56
"Homey place, Comfy futon",41.96116913,-87.73422676,Shared room,15,1,7,06/05/2017,6.36
"Sunny & charming, Chicago apartment",41.95619033,-87.72129328,Entire home/apt,77,2,60,16/04/2017,1.97
Chicago River Walk,41.95949428,-87.69804342,Private room,30,2,60,09/05/2017,3.50
>> A Cozy Apartment in time for Spring,41.95907435,-87.71065741,Entire home/apt,131,1,10,03/04/2017,1.55
PRIVATE 2BD APT,41.94763671,-87.7081721,Entire home/apt,90,2,116,07/05/2017,4.27
Private Irving Park Studio Apt,41.9472364,-87.70279196,Entire home/apt,74,1,23,23/04/2017,0.99
New Luxury Bed & Bath,41.94256887,-87.73219375,Private room,65,1,182,03/05/2017,6.07
Bungalow Suite,41.95998522,-87.71130803,Private room,98,2,20,06/11/2016,1.04
PrivateRoomClose to Wrigley shuttle,41.95683522,-87.73314052,Private room,69,1,17,10/10/2016,0.85
Fabulous Flat,41.94966567,-87.72612168,Entire home/apt,85,1,1,09/02/2017,0.13
Quiet Comfy Neighborhood 1Bed,41.95687181,-87.70132863,Entire home/apt,80,2,0,,
Private 1BR in a central location,41.94703813,-87.71353792,Entire home/apt,75,2,46,09/05/2017,3.25
One or two Bedrooms in Big Quiet Apt,41.95378081,-87.73875518,Private room,45,1,47,09/04/2017,1.64
Large Private 2br near Blue LineCTA,41.94839265,-87.70666188,Entire home/apt,95,3,14,10/04/2017,1.05
Private Room Between O'Hare and Downtown Chicago,41.95349149,-87.73458579,Private room,22,1,1,13/03/2017,0.51
Lux 4 Bedroom 3.5 Bath Home in Chicago w/ Parking,41.95964122,-87.71271185,Entire home/apt,245,2,24,07/05/2017,4.16
Old Irving Bungalow 2.0: Respite in the City,41.95074057,-87.73466847,Private room,75,1,14,03/05/2017,1.45
Bright & Cozy Artist's Home,41.96021886,-87.73046052,Private room,35,1,2,20/03/2017,1.02
Private Room in Tudor Bungalow,41.94433291,-87.74049322,Private room,42,1,4,08/05/2017,4.00
Room for rent in homey two-flat,41.96106284,-87.70635106,Private room,23,30,3,16/02/2016,0.13
North Side Chic and Cozy,41.95258789,-87.71872371,Private room,85,2,55,16/11/2015,1.58
"3 miles to Wrigley, private, cozy, easy access",41.95018833,-87.71645213,Private room,125,1,2,06/11/2016,0.31
Comfortable Irving Park Apartment,41.94932057,-87.70292198,Entire home/apt,100,2,36,08/05/2017,3.35
HUGE Apartment for 8 NEAR TRAINS/BUS. FREE PARKING,41.95541542,-87.73073965,Entire home/apt,225,2,16,30/04/2017,1.69
Room on the NW side for pet lovers,41.91855227,-87.75299242,Private room,50,2,18,19/09/2016,0.76
be freedom,41.93061793,-87.75622118,Private room,99,1,0,,
"One Bed, in Belmont Cragin.",41.92417652,-87.76971787,Private room,35,1,4,24/04/2017,0.51
2704 N Menard Ave,41.93036712,-87.77170738,Entire home/apt,243,2,0,,
"Cozy 2 BD
Free parking
Mall near by",41.92719636,-87.7849064,Entire home/apt,60,1,5,20/12/2016,0.55
"Private, comfortable twin beds in Belmont Cragin!",41.92353608,-87.76760741,Shared room,35,1,0,,
Comfortable Bedroom for rent in Belmont Craigin!,41.9237838,-87.76756801,Private room,35,1,0,,
Comfortable bed in Belmont Cragin Area!,41.93317804,-87.77453503,Private room,35,1,2,06/02/2017,0.28
Comfy house in the northwest.,41.93721015,-87.77854356,Shared room,72,1,4,18/11/2016,0.56
Room in Belmont Cragin!,41.92396213,-87.76989387,Private room,35,1,8,07/08/2016,0.69
"Comfortable Bedroom for rent, Belmont Cragin!",41.92203984,-87.7684862,Private room,35,1,0,,
Bedroom with bath and large family room.,41.92077839,-87.74539574,Private room,39,2,16,07/05/2017,6.86
Private suite in the House on Mango Street,41.92776313,-87.76874722,Private room,45,1,29,07/05/2017,3.20
"Comfortable bedroom for rent, Belmont Cragin area!",41.92360931,-87.76759325,Private room,35,1,0,,
3 comfortable beds in bedroom!,41.92258177,-87.76991117,Private room,45,1,0,,
Comfortable bed in Belmont Cragin Area!,41.9341722,-87.77469065,Private room,35,1,4,24/04/2017,0.60
Siddharth Arya,41.93437176,-87.73976079,Private room,40,1,9,30/04/2017,0.94
Stunning Logan Square area Bungalow!,41.93525499,-87.73721575,Entire home/apt,225,2,0,,
Comfy private room in Logan Square!,41.91479368,-87.72477388,Private room,35,1,26,09/05/2017,3.64
Hermosa/Logan Square spacious apartment,41.92636113,-87.73240221,Entire home/apt,65,2,0,,
Charming Flat In Avondale,41.93814762,-87.73999687,Entire home/apt,75,1,49,08/01/2017,3.79
2 Bedrooms- Comfy Chicago Apartment!,41.92412077,-87.74151445,Entire home/apt,69,1,48,04/05/2017,4.90
Cozy Humboldt Pk Apartment,41.91613664,-87.72626109,Private room,30,1,21,16/04/2017,0.98
Modern Private br/ba Logan Square,41.92305369,-87.72668655,Private room,60,1,25,07/05/2017,2.17
Siddharth Arya,41.9343265,-87.7394453,Private room,40,30,27,16/09/2016,1.08
Private Bed/Bath near Blue Line,41.94406094,-87.70441917,Private room,65,1,69,06/05/2017,4.87
Paint With All the Colors of the Windy City,41.94471176,-87.72038991,Private room,35,1,28,08/05/2017,3.89
Private room 5 mins from Logan Square Blue Line,41.93286323,-87.70579789,Private room,60,1,6,07/05/2017,2.86
Relaxing - Blue Line & Private Bath w/ Breakfast,41.93387349,-87.71097111,Private room,60,2,72,21/04/2017,2.93
One bedroom near Blue line,41.93438272,-87.71622241,Private room,50,1,19,07/05/2017,1.99
FloGusto's,41.93228666,-87.71800243,Private room,67,3,30,23/04/2017,3.32
Logan Square- Blk & Wht,41.9331282,-87.72844754,Private room,40,4,8,06/04/2017,0.35
"Logan Square bright, modern apartment",41.93308166,-87.72244546,Private room,61,1,13,17/04/2017,1.65
Private Room in Trendy Logan Square,41.93289917,-87.72431863,Private room,70,1,54,24/08/2016,2.14
4 BR close to Logan Square w/ free garage parking,41.93846283,-87.71357196,Entire home/apt,300,2,0,,
Creative Spacious 2BR/Logan Square,41.93618086,-87.70949487,Entire home/apt,150,3,51,07/05/2017,2.86
Pet Friendly Private Room in Avondale/Logan Square,41.93523984,-87.69461023,Private room,28,1,12,08/05/2017,3.60
Wow! Logan Square house sleeps 20+!,41.93325793,-87.70933912,Entire home/apt,279,1,0,,
"Peaceful, Easy to Cubs & Wrigley Field",41.9438291,-87.72174119,Private room,44,1,12,22/10/2016,1.21
2 bed room  in garden coach house,41.93970325,-87.70258688,Entire home/apt,99,1,81,09/05/2017,2.25
Cozy Logan Square Garden,41.93402012,-87.71092877,Entire home/apt,50,1,69,16/04/2017,3.54
"V Cute Room, Trendy Area, Rehabbed Apt",41.94056464,-87.72325878,Private room,33,2,4,01/05/2017,1.94
Cozy&Clean 2bd Apartment,41.93896611,-87.71332212,Private room,59,1,4,18/03/2017,0.36
Cozy room in the heart of Chicago.,41.934503,-87.70233066,Private room,70,1,0,,
Single Family Home near Logan Square,41.94035089,-87.70391759,Entire home/apt,400,3,4,27/11/2016,0.45
Charming Logan Sq/Avondale Getaway,41.93956042,-87.71900017,Entire home/apt,50,3,89,29/04/2017,3.44
Historic Irving Park 9BR Three Flat - Sleeps 24!,41.93959632,-87.72552971,Entire home/apt,799,2,15,30/04/2017,1.32
2 Twin Beds Upstairs in Avondale,41.93220886,-87.72066416,Shared room,30,2,41,31/10/2016,2.14
Cozy room in vintage Logan Square home,41.93727204,-87.71076923,Private room,55,2,0,,
Logan Square-Butterfly- bed 2,41.93405485,-87.729929,Shared room,30,4,1,31/05/2016,0.09
Logan Square-Buddy Room - Bed 1,41.9349646,-87.72841831,Shared room,30,4,5,09/06/2016,0.25
PRIVATE BEDROOM 2,41.93501473,-87.69341249,Private room,42,2,4,08/05/2017,2.26
1 Bed/Bath Condo - Logan Sq.,41.93985016,-87.71658743,Entire home/apt,85,2,11,19/10/2016,0.49
Spacious townhome on 3 plus levels,41.9384761,-87.69365514,Entire home/apt,235,7,1,10/06/2016,0.09
"Comfy Sofa Bed, Wide View of City",41.93823246,-87.72561832,Shared room,26,1,1,18/09/2016,0.13
Bright & Safe w/ AC & Parking,41.94396916,-87.7068817,Shared room,31,1,13,16/10/2016,0.41
LOGAN  FULL APARTMENT FOR RENT,41.93334077,-87.69353314,Entire home/apt,85,2,168,19/02/2017,3.36
Beautiful Logan Square Home,41.9331233,-87.70808693,Entire home/apt,199,2,0,,
Rehabbed BR in Logan Sq coop house,41.93696332,-87.70674568,Private room,32,3,3,23/12/2016,0.22
Bright Corner Unit Avondale 2BR Apt,41.94189586,-87.72244165,Entire home/apt,115,2,65,02/05/2017,3.94
Spacious Tree Lined Avondale/Irving Park Getaway,41.94287278,-87.72394113,Entire home/apt,50,3,20,24/04/2017,3.37
Beautiful 2 bed room apartment,41.93998402,-87.70271904,Entire home/apt,99,1,37,07/05/2017,1.02
Cozy 2 Bedroom Contemporary Apt,41.93394481,-87.71639291,Entire home/apt,75,1,4,26/03/2017,1.79
Garden bedroom in Logan Square coop. SOFT CAT.,41.9354506,-87.70541608,Private room,46,2,2,06/11/2016,0.21
Cozy Room in Avondale 2,41.93285756,-87.72098976,Private room,35,2,40,25/10/2016,2.01
Beauty on a Budget Logan Square w/ Breakfast,41.93527357,-87.71040204,Private room,45,2,54,07/05/2017,2.74
Su Casa #1 - Bedroom 2,41.93311967,-87.71925061,Private room,45,1,85,23/04/2017,2.34
Crows-nest bedroom in Logan Square coop,41.93526806,-87.7062242,Entire home/apt,45,2,2,08/10/2016,0.26
Clean & Comfortable Near Blue Line,41.94075928,-87.70410013,Entire home/apt,72,2,64,21/04/2017,3.01
Comfortable room near Logan Square.,41.93347915,-87.71901312,Private room,35,2,7,31/12/2016,1.12
"Private Bedroom, Blue Line & Wine",41.94357106,-87.72548914,Private room,25,1,32,25/04/2017,3.12
Large Pet Friendly Room in Avondale/Logan Square,41.93386825,-87.69322571,Private room,38,1,10,16/04/2017,2.94
Unbeatable Price! Minimum 30-day stays!,41.93614,-87.6955343,Entire home/apt,129,30,27,07/05/2017,1.85
Logan square Hot spot!  Casa Havana,41.93436519,-87.70885082,Entire home/apt,115,6,9,02/03/2017,1.08
Drake of Avondale,41.93856897,-87.71532914,Entire home/apt,125,1,2,08/05/2017,2.00
Avondale - Logan Square Minimalist Retreat,41.93238461,-87.69249621,Entire home/apt,165,2,19,07/05/2017,3.65
Chicago private house near Wrigley Field & Logan,41.93237056,-87.69095113,Entire home/apt,152,1,66,07/05/2017,4.84
one bedroom in townhouse,41.94029105,-87.69530309,Private room,90,1,15,15/06/2016,0.43
The Avondale.  Avondale / Logan Sq. 2 BR Oasis,41.93650958,-87.72409029,Entire home/apt,116,2,17,23/04/2017,2.41
Awesome Avondale 2BR Apt w/ Bikes!,41.94143992,-87.72277823,Entire home/apt,115,2,105,02/05/2017,3.08
The Logan Square Bungalow,41.93540804,-87.69374423,Entire home/apt,275,1,15,15/10/2016,1.32
3BR Flat-Great Location near Logan Square/Avondale,41.94449501,-87.72148249,Entire home/apt,125,2,35,24/04/2017,3.45
Logan Square-Butterfly- bed 1,41.93286858,-87.72969024,Shared room,30,4,5,19/05/2016,0.30
Entire Logan Studio - 270 ft to Blue Line CTA,41.93261984,-87.71006992,Entire home/apt,90,2,12,08/05/2017,2.28
它是一个温暖的家，你在这可以如同回家，你会物有所值！,41.93602791,-87.72999642,Private room,40,1,11,22/03/2017,1.57
A PRIVATE CITY OASIS,41.94499046,-87.71963528,Private room,95,1,9,01/01/2017,1.02
Private Room-Avondale near blueline,41.93758242,-87.71240246,Private room,63,1,119,08/05/2017,3.36
"Belmont Gardens - Peace & Quiet, Full Living Area",41.93763902,-87.73072726,Entire home/apt,149,1,36,07/05/2017,3.22
Large private room in cute apartment,41.93521112,-87.72605877,Private room,75,2,13,23/04/2017,1.32
Quaint MCM with private bathroom,41.93912264,-87.7181344,Private room,40,2,49,06/05/2017,2.25
Melrose Place Chicago 3BR,41.9403849,-87.72499127,Entire home/apt,122,2,21,07/05/2017,1.76
Private Bedroom And Private Balcony,41.93916502,-87.70180175,Private room,50,1,4,08/05/2017,2.31
"1st floor luxury flat, 8 mins from Logan Sq stop",41.93442155,-87.70554402,Entire home/apt,75,2,0,,
Cozy Clean & Modern 2BD in Logan Square / Avondale,41.94019374,-87.717461,Entire home/apt,72,28,10,05/12/2016,0.71
Great 3 Bedroom Place at Great Price!!,41.93281374,-87.69389523,Entire home/apt,135,2,25,16/04/2017,2.58
Comfy Private Room in Logan Square,41.93413027,-87.72064511,Private room,35,1,14,25/04/2017,1.83
Private Room a block from blue line,41.94208314,-87.71685054,Private room,38,1,77,01/05/2017,3.20
Yoga Room On Blue Line Logan Square w/ Breakfast,41.93573249,-87.71038039,Private room,49,2,55,07/05/2017,2.74
Tree top 2nd floor 3 bedrm apt,41.93520806,-87.71095645,Entire home/apt,85,2,25,28/02/2017,2.17
ArtHouse Logan Square 3BR,41.94030421,-87.72355234,Entire home/apt,122,2,26,06/05/2017,2.20
"Family-Friendly, North Side Chicago Apt",41.94663523,-87.70414421,Entire home/apt,85,2,11,30/04/2017,3.67
PRIVATE 3BD HOUSE,41.934912,-87.69275135,Entire home/apt,152,2,3,23/04/2017,1.96
Huge Cozy Room in a quiet neighborhood by Blue EL,41.94586487,-87.72504095,Private room,39,1,5,23/04/2017,1.23
Logan Square - Yellow Room,41.93481035,-87.72971654,Private room,35,4,1,03/01/2016,0.06
Blue Door Garden View Suite Chicago,41.94363761,-87.72297962,Entire home/apt,145,30,18,16/10/2015,0.56
New! In the heart of Logan Square.,41.93255144,-87.70992361,Entire home/apt,49,1,3,15/03/2017,0.72
Bohemian Hideaway (Lic 2333774),41.93307598,-87.71625338,Entire home/apt,95,2,62,01/05/2017,1.88
Huge Logan Square 4-Bed Duplex w/ 2-Car Garage,41.93297393,-87.70818674,Entire home/apt,250,2,25,07/05/2017,3.02
Spacious 2 bed- Blue Line. Avondale,41.9415717,-87.70656165,Private room,50,2,70,20/12/2016,4.79
Private 2bdrm apt near Logan Square,41.93710831,-87.71932959,Entire home/apt,135,1,150,23/04/2017,6.09
Logan Blue Line Suite Private Bath w/ Breakfast,41.93375353,-87.71062233,Private room,49,2,57,01/05/2017,2.79
The right BS- Bright & Safe,41.94535475,-87.70702631,Private room,27,1,14,31/03/2017,0.43
Maya Garden Suite Chicago,41.9447588,-87.72288788,Entire home/apt,65,30,65,19/02/2017,1.95
"Convenient, eclectic 2BR in Avondale/Logan Square",41.94093688,-87.72205377,Entire home/apt,110,1,65,07/05/2017,6.00
Cozy Room in Avondale 3,41.93371039,-87.7208096,Private room,30,2,6,29/10/2016,0.34
Safe & Quiet w/ Free Parking & AC,41.94374097,-87.7071822,Private room,60,1,0,,
Master bed attached full bath ॐ,41.94620629,-87.70548767,Private room,70,1,8,16/10/2016,0.68
Beautiful1 Bedroom apartmet ,41.9400702,-87.70139083,Entire home/apt,89,1,39,08/05/2017,0.92
Positive Vibrations Sunny Top Floor On Blue Line,41.93561128,-87.71111447,Entire home/apt,120,2,18,28/09/2016,1.29
Logan Square Blue Line Private King Size Bedroom,41.93332255,-87.70999197,Private room,53,1,7,02/05/2017,6.56
PRIVATE BEDROOM 1,41.9349494,-87.69187207,Private room,41,2,1,22/03/2017,0.60
Commuter's Dream in Logan Square,41.93347949,-87.70669689,Private room,70,2,127,30/04/2017,3.82
"Modern, Clean & Cozy 2 Bedroom",41.93279174,-87.71723629,Entire home/apt,110,1,27,08/01/2017,2.30
PRIVATE BEDROOM 3,41.93630151,-87.69215675,Private room,46,2,0,,
Cozy room #1,41.93345435,-87.72055522,Private room,25,2,21,23/04/2017,3.39
Room(s) in Logan Square,41.93436018,-87.7123229,Private room,75,1,0,,
Comfortable Duplex Home In Logan Square Chicago,41.93431381,-87.69589864,Entire home/apt,70,1,15,07/05/2017,1.51
"Bright, modern Avondale apartment",41.94048954,-87.72388744,Entire home/apt,175,1,8,06/05/2017,1.12
Logan Square Private Bedroom Right Off Blue Line,41.93307011,-87.71228822,Private room,46,1,20,07/05/2017,2.01
Logan Square -Green Room,41.93306482,-87.72850787,Private room,45,4,5,20/08/2016,0.22
Stylish 1BD Coach House in the city,41.93583161,-87.69360512,Entire home/apt,97,3,56,23/04/2017,2.36
Sunny Art-Filled Chicago 2BD Avondale/Logan Square,41.93569217,-87.72505871,Entire home/apt,125,2,57,01/05/2017,2.33
Spacious 2 BR Apt Near Blue Line & Wrigley Field,41.94182065,-87.70446739,Entire home/apt,100,1,1,30/10/2016,0.16
Private Floor Close to Transit,41.94598427,-87.72432943,Private room,47,1,108,08/05/2017,5.30
The Attic on Avers near Blue Line,41.93361626,-87.72251923,Entire home/apt,64,3,57,07/05/2017,2.65
UNIQUE HOME is all yours! 2BR/2BA. Art Galore!,41.94114847,-87.71333491,Entire home/apt,227,1,16,10/11/2016,0.66
Hinterlands  (Lic.#2288893),41.93275443,-87.71644904,Entire home/apt,97,2,96,26/04/2017,2.15
2 BR Avondale Abode!,41.93722369,-87.69455282,Entire home/apt,75,2,39,04/05/2017,3.68
Cozy 1 Bedroom Apartment,41.94504581,-87.70745063,Shared room,80,1,0,,
Affordable & Safe w/ AC & Parking,41.94348679,-87.70588837,Shared room,31,1,8,05/11/2016,0.65
Huge 3 BED 2BA/Blue Line/Logan SQ/Avondale/Wrigley,41.94399693,-87.7067577,Entire home/apt,80,2,3,28/04/2017,0.83
Earphoria (for Musicians),41.93244952,-87.71528138,Shared room,15,1,113,10/04/2017,1.87
Clean & Convenient Spot - 1 Bed/2 Bath - near CTA,41.93943442,-87.71713537,Entire home/apt,115,1,13,02/05/2017,1.57
"Modern Comfort, Walk to Transit, Food Blogger Host",41.94511804,-87.72412753,Private room,58,1,59,07/05/2017,4.20
Logan Square - full size bed,41.93351483,-87.72819317,Private room,50,4,3,22/12/2016,0.14
Sunny Logan Square Apartment,41.93313176,-87.70411591,Private room,35,4,46,16/04/2017,2.79
Private Bedroom & Bathroom in One of a Kind HOUSE!,41.9412439,-87.71401804,Private room,88,1,0,,
Quiet Room Off Logan Square Blue Line w/ Breakfast,41.935238,-87.71247902,Private room,39,1,95,24/11/2016,3.16
Living Large in Logan Square 3BR,41.93947097,-87.72357764,Entire home/apt,122,2,22,08/05/2017,2.21
Private apartment - Avondale-1 block to blue line,41.93761443,-87.71090646,Entire home/apt,183,2,13,30/04/2017,1.34
Art Filled Logan Square Apt w/ Outdoor Green Space,41.93589919,-87.70715274,Entire home/apt,115,1,13,07/05/2017,1.71
Sunny Room in Classic Chicago Rehab,41.94209773,-87.70586151,Private room,45,20,18,28/06/2016,0.58
Shown on HGTV 2BD Steps from Train,41.93877978,-87.70905133,Entire home/apt,105,1,54,30/04/2017,2.74
Logan Square-Buddy Room - Bed 2,41.93279208,-87.72877094,Shared room,30,4,2,31/05/2016,0.10
Private ROOM-Avondale near blueline,41.93625434,-87.71245424,Private room,67,1,23,01/04/2017,0.69
"Perfect for families + business groups, Sleeps 12.",41.93337041,-87.7100232,Entire home/apt,99,1,87,30/04/2017,4.06
Indoor Camping w/Helpful Hostess & Friendly Dogs,41.93711667,-87.71765518,Private room,34,1,114,30/04/2017,3.83
Spacious and Kid-friendly 2-bed in Logan Square,41.93377176,-87.70430741,Entire home/apt,100,1,4,02/01/2017,0.63
"Small, clean garden apartment near transportation.",41.93487496,-87.69516861,Entire home/apt,76,1,12,19/03/2017,1.23
Cozy room with a nice street view,41.93409149,-87.72078087,Private room,28,2,15,24/04/2017,2.41
Quiet Space to sleep & rest,41.91128175,-87.70246314,Private room,20,3,15,29/04/2017,3.49
Bright Boho Vibes in Humbolt Park,41.90282433,-87.70922937,Private room,65,1,2,12/12/2016,0.34
Rogue Philanthropy Manor,41.90666966,-87.71429141,Private room,60,1,41,07/11/2016,1.82
2 BR apt. Humboldt Pk. Chicago il,41.89910919,-87.70855551,Entire home/apt,140,2,7,30/10/2016,0.42
Humboldt Beginnings,41.89689236,-87.71890262,Entire home/apt,79,1,0,,
3BR Flat w/Free Street Parking in Humboldt Park,41.89873126,-87.70325533,Entire home/apt,95,1,18,08/05/2017,3.83
3BR Classic Chicago Graystone in Humboldt Park,41.89522613,-87.70819743,Entire home/apt,100,1,10,31/12/2016,1.42
Lounge City-sunny & spacious & cats,41.91191792,-87.70244494,Entire home/apt,90,3,5,24/07/2016,0.25
Off the Beaten Path on Harding Ave,41.89999508,-87.72140546,Entire home/apt,99,3,74,23/04/2017,1.33
Bedroom in Vintage Chicago Flat,41.9007373,-87.72497625,Private room,45,1,12,17/03/2017,1.06
THE PLAYHOUSE + ROOFTOP DIGS!,41.91105363,-87.70926949,Entire home/apt,250,2,150,26/03/2017,2.91
"Basement Studio w/Free St. Parking, Humboldt Park",41.89825789,-87.70335614,Entire home/apt,60,1,244,08/05/2017,6.75
Busy Vegetarian Family Home,41.91358541,-87.70240659,Private room,60,1,29,24/06/2016,1.19
Modern and Homey Duplex (3Br-3Ba),41.91297688,-87.70428685,Entire home/apt,197,2,152,19/09/2016,2.13
Sunny Home in the Heart of Humboldt Park,41.90535313,-87.70890938,Private room,25,1,8,28/04/2017,3.93
1 Bedroom in Beautiful Humboldt Park,41.90526397,-87.71029749,Private room,39,1,2,07/05/2017,2.00
Private Entry 1 Bdrm Near Transit,41.89625158,-87.7306357,Entire home/apt,25,1,12,02/05/2017,8.78
Cozy private bedroom in Queer Home,41.90065359,-87.71022844,Private room,20,2,1,20/07/2015,0.05
Urban Farmhouse,41.91223941,-87.70952158,Shared room,40,1,5,01/08/2016,0.45
Cozy Apartment minutes from Downtown Chicago,41.90244681,-87.7069313,Private room,35,1,46,03/05/2017,5.59
Huge Modern 4BR/2BA Apartment with Easy Parking,41.9107257,-87.70357877,Entire home/apt,315,2,56,24/04/2017,3.51
Charming room in chicago,41.90286783,-87.70820242,Private room,47,1,15,09/11/2016,0.75
The Secret Garden - at Humboldt Park,41.9014145,-87.70749643,Entire home/apt,115,1,5,01/04/2017,0.70
Humboldt Park Hideaway,41.90871536,-87.70736016,Private room,47,1,36,23/04/2017,2.11
Vintage Chicago Flat,41.90102221,-87.72481601,Entire home/apt,75,1,19,16/04/2017,1.66
"1 Bdrm in a 2 Bed, 1 Bath Apartment",41.90976017,-87.71600628,Private room,60,2,7,06/11/2016,0.61
"Easy-going, comfortable apartment [=",41.90849616,-87.70722492,Shared room,30,1,8,01/05/2017,1.05
Comfortable Condo Steps from Park,41.91129164,-87.70423902,Private room,55,1,24,03/12/2016,0.74
Private rm in the heart of beautiful Humboldt Park,41.90620042,-87.70883756,Private room,60,2,0,,
Cozy Garden Apartment with Private Entrance,41.90412914,-87.70740885,Entire home/apt,79,2,57,19/03/2017,2.79
2nd Bedroom in Vintage Chicago Flat,41.90114726,-87.72283589,Private room,40,1,8,26/09/2016,0.88
Biker's Paradise in Logan Square/Humboldt Park,41.9123905,-87.71679396,Private room,65,1,1,07/05/2017,1.00
"Cozy Humboldt Park Apt,Minutes to Downtown Chicago",41.91057575,-87.70869757,Entire home/apt,70,2,67,05/05/2017,2.78
HOME COMFORT AND REAL BREAKFAST,41.91237915,-87.7107307,Private room,49,2,75,10/10/2016,1.24
Bright Boho Vibes in Humbolt Park,41.90360252,-87.7095148,Entire home/apt,98,2,5,07/05/2017,0.81
~ Wanna Getaway? ~,41.91230288,-87.70711435,Entire home/apt,90,2,7,15/04/2017,1.62
Spacious Humboldt Park Condo for 6,41.90994481,-87.71093231,Entire home/apt,114,2,44,23/04/2017,3.34
Airy cottage in Logan Square (Master),41.91305744,-87.71709963,Private room,45,1,4,15/04/2017,2.00
Private Entry 2 Bdrm near Transit,41.89635191,-87.72976298,Entire home/apt,60,1,6,09/05/2017,6.00
Private Cozy Suite,41.91256758,-87.71951336,Entire home/apt,85,2,36,26/03/2017,3.76
Bright and Spacious Humboldt Park Apartment,41.90515785,-87.70792335,Entire home/apt,82,1,5,07/05/2017,0.46
Cozy Private Room in Humboldt Park!,41.90366639,-87.70744926,Private room,45,2,5,23/10/2016,0.44
Humboldt House,41.90379671,-87.70941839,Private room,65,2,10,02/04/2017,1.03
"Quiet & Simple, Queen bedroom",41.91049329,-87.70404681,Private room,36,5,32,16/04/2017,2.49
Private basement apartment,41.90534891,-87.71958693,Entire home/apt,85,1,41,23/04/2017,3.49
"Charming ""Home Away from Home"" - We Welcome ""ALL""!",41.89727233,-87.70240141,Entire home/apt,90,1,125,26/03/2017,3.87
"Lovely apartment, in Logan Square!",41.90761788,-87.71556258,Entire home/apt,100,2,8,24/04/2017,0.91
Classic 3 Bedroom Chicago Home with Free Parking!,41.90366633,-87.71007153,Entire home/apt,115,2,23,04/05/2017,2.57
Airy cottage in Logan square (office),41.91280872,-87.71635308,Private room,40,1,6,02/04/2017,2.22
High ceiling marvel on Lexington,41.87095704,-87.722451,Entire home/apt,79,3,1,08/05/2017,1.00
Great Place Garfield Park 3 Bedroom,41.87477619,-87.72130867,Entire home/apt,95,1,109,23/04/2017,4.26
Garfield Private Suite,41.87750705,-87.70098832,Private room,52,1,0,,
"African Safari: Homan Square (2 Queens, 4 Guests)",41.87313754,-87.71486657,Private room,49,1,18,24/04/2017,4.32
"Casa De Cricket, Private Room with a Private Bath",41.87183429,-87.71070426,Private room,63,1,34,23/04/2017,1.84
1 room (R) in three bedroom unit 3E,41.87562248,-87.70960675,Private room,29,1,10,02/04/2017,2.27
1 room (A) in 3 bedrooms unit (3E),41.87736637,-87.71147161,Private room,29,1,7,05/03/2017,1.59
"Paris Nights: Homan Square (Queen, 2 Guests)",41.87390753,-87.71452201,Private room,39,1,13,02/05/2017,3.12
Fort Washington Garden Room,41.8821808,-87.70879501,Private room,58,1,94,03/05/2017,8.68
